created_at,address,gitcoin_stamps
2022-10-18 05:43:14.095226+00,0x5a756d9c7caa740e0342f755fa8ad32e6f83726b,"{""Discord"": ""v0.0.0:YHVHYtE/KSZ23UHn84FdOTEd+ilqxPqL6C3E06PeZT0="", ""Twitter"": ""v0.0.0:/XweIYQB2lW3Jf5Y0XqHP1/hizOFvzcs6I5QUfzLy6Y="", ""Brightid"": ""v0.0.0:ZHVn5A5BHeQD4RJHToV8JR30Ek49XDXukwTNGinMJTw="", ""TwitterTweetGT10"": ""v0.0.0:BErN8EvNrw5oLcpbv4NQnHpD21iOp2rnsXZHY1mp9lc="", ""TwitterFollowerGT100"": ""v0.0.0:nyNebZFoRGhK9s8sMmNGHThyXNt32bf4xr4j5nXhKf0="", ""SnapshotVotesProvider"": ""v0.0.0:sJMBntGhopBpTD3DxJk9j0OM+KbUV/yhTPvG8zfXf94="", ""GitcoinContributorStatistics#numGrantsContributeToGte#1"": ""v0.0.0:FQJNfYDuCcfpxV2ioB4vIPpIN+Ui5noTTHjbU5hJi+0="", ""GitcoinContributorStatistics#numGrantsContributeToGte#10"": ""v0.0.0:fqDgMZfpdaq3zioyTcYvh1Xvy/uz25mxSegj2L9jDWU="", ""GitcoinContributorStatistics#numGrantsContributeToGte#25"": ""v0.0.0:7CfepWf4aE7so07n+PlcpGOWpJc2QclDNpa0CRwRlWY="", ""GitcoinContributorStatistics#numRoundsContributedToGte#1"": ""v0.0.0:Jj/wxUOB4rX68LCa//kOzQewJK2Bo9dpvSqaAze52V4="", ""GitcoinContributorStatistics#numGrantsContributeToGte#100"": ""v0.0.0:CwIrYxkR+QqmX3nw8miX1mBBVjhyZEuzsBmaaA3m1yc="", ""GitcoinContributorStatistics#totalContributionAmountGte#10"": ""v0.0.0:MjC2X+Bd4lCsP1Fybf/2VA4OyXDDgeJR3OVV76HYzkA="", ""GitcoinContributorStatistics#totalContributionAmountGte#100"": ""v0.0.0:zwzuU2xKq1KDD22C5byZUsa5uimYmogi5mb4NbCwYR8=""}"
2022-10-18 05:43:20.136763+00,0x38d3c81f5d5f483c80cd36d592a32f3433a1bb5e,"{""POAP"": ""v0.0.0:J7wMzJYzDNbheR6mGlLDZN2zXXXyj4V/k+ap299t/A8="", ""Github"": ""v0.0.0:UY4vHrVFYrgnhVQD32mZ9tm7nEtyZWtCM6kLrjaNlNU="", ""Google"": ""v0.0.0:jZUB3G6lmrrnUWpwQ2kuRv8+tHLDIm19QcrHpKtQfww="", ""Discord"": ""v0.0.0:96kidkuZc1oEVq4chZXZJ/76xJydohsUTZipE0W/KHI="", ""Twitter"": ""v0.0.0:Ft1bH1/sc4jspmxiYTV8JBUkQXipX1iWeldN3W7NMSg="", ""Brightid"": ""v0.0.0:758aOtqbOn0a54ZW1qXjFfvvtbz+Bme+r5LKJiaYWjA="", ""Facebook"": ""v0.0.0:m0ZbLUfQ4gmzlptoe4J6Rc9yKWfgFAwLk7U10BhUcPk="", ""FirstEthTxnProvider"": ""v0.0.0:ETCHH2umES//P0SiMX7p9KSY9MM6iC7rRNRzVMBGwtM="", ""EthGTEOneTxnProvider"": ""v0.0.0:CujY7o50vNPUjXTHREN5Iub7jgx9Y3/o7i4gkjuuMXk="", ""GitcoinContributorStatistics#numGr14ContributionsGte#1"": ""v0.0.0:dbEpDEWI0l14SrOhwyizGLrKkUFYmHd484g1L9y0xvk="", ""GitcoinContributorStatistics#numGrantsContributeToGte#1"": ""v0.0.0:YtjaZSHQMMxvsF/b30RocOEcPkwbON6et71Q6YVLFIA="", ""GitcoinContributorStatistics#numGrantsContributeToGte#10"": ""v0.0.0:TwYbJCOUOYCQfsIHHy6bnjN9Md7BHX+zz4WO7j0jdP8="", ""GitcoinContributorStatistics#numRoundsContributedToGte#1"": ""v0.0.0:tajjsAnA4AkCj9StX5c62LqO9JDDSegBPxUx4kbBgqw="", ""GitcoinContributorStatistics#totalContributionAmountGte#10"": ""v0.0.0:4uErYi7kJzpC/3WFZwNQtVFsyH5b9r9yHOLfrJfW7KA=""}"
2022-10-18 05:43:23.306096+00,0xfaaa79ed017a66f19bd08161a2ebd215150758c4,"{""Ens"": ""v0.0.0:HZtjndzYYVi/ZzFdWou1RW+8MAMKyL7aTjKgNPtEmos="", ""NFT"": ""v0.0.0:yxmKq+IlYewb5UlJoBS/+cQd9FrjAWoAlnF5pif5YUQ="", ""POAP"": ""v0.0.0:y7Y4o2nMIfcSica8bmCpEC6Hq6SvPZ/kF3TgxaL+il0="", ""Brightid"": ""v0.0.0:mGBvLoK/MyOz7hy/AT9i2j0zy5CulxROjlqCZYl3h5A="", ""GnosisSafe"": ""v0.0.0:VeY+vFDeq7Tzf8gscy58nvrZxN433Qjzmw2z7gMJFKc="", ""FirstEthTxnProvider"": ""v0.0.0:t3QQhnqQ82tpJvEmPHYTteE1uRskTA098sYLNIfjbqI="", ""EthGTEOneTxnProvider"": ""v0.0.0:bbVCepUsdg/17VgdrpRG9u02AGa4jleD7yekK0JzeyU="", ""SnapshotVotesProvider"": ""v0.0.0:cYVe5qCZGItoY1mbdGkAQ2Cifn5oxmp+l5Cqs5IKAjs=""}"
2022-10-18 05:43:25.507858+00,0x5ead9c10e4c0cd7d362775c179e1e3f0861706f2,"{""Ens"": ""v0.0.0:FYprydygTlpCWKZfGruI32F2KJ9DuAJ7YucXMQF2pfw="", ""NFT"": ""v0.0.0:0mO3Mh/IFaUgZ5hPpbFFweRbbPG+R7czNBW+KLzHCkk="", ""POAP"": ""v0.0.0:P0M/DksMh+MeRJxgSEaw0quSkIFUmIx/iFma3Xb9Ni4="", ""Github"": ""v0.0.0:/qZbEnt9yRZ4gmBjwl5xLOYbHg7/Vh7szyT4B78GjjE="", ""Google"": ""v0.0.0:kfJAP/LVEUbiaTmjm18hn+bY0Go9IIbU5w2ni4PPIwQ="", ""Discord"": ""v0.0.0:9pakOUgGrODhkT49Yrlz3xxAaAtOVTAYTlox39kEPHU="", ""Twitter"": ""v0.0.0:4SeEpnFkiY4j1e32rPxGPIetzeG1O1rO+8nLU4Hs/4A="", ""Facebook"": ""v0.0.0:5bAgm9hD0z8Wnj5Nc0YlGGMBAf+D9dZvhgEHQIjWai0="", ""TwitterTweetGT10"": ""v0.0.0:JvGeQSmNNqAMeMXyRFNmemsUiAaKE3ugXJ6D71OnTPc="", ""FirstEthTxnProvider"": ""v0.0.0://QQiCQOx7PXQbsnhGGPb+ROXolIv8rRJw0ZGaNwaeA="", ""EthGTEOneTxnProvider"": ""v0.0.0:fwx3TvTOEGikdUDgkDNBsvvX0UhGD9F8oLwb+v54k5g="", ""SnapshotVotesProvider"": ""v0.0.0:f8oh6oOihY/Fhixpup+a2Y5Ck5WZMf89mpEB/4m1FwY="", ""GitcoinContributorStatistics#numGrantsContributeToGte#1"": ""v0.0.0:fQPF69D+Ms8f46ZLZMz0Thn3IpF6PeEd2xr36eyVF1o=""}"
2022-10-18 05:43:28.772283+00,0x1becad9d2a9cbf25b29bc7b5600a2d1519e3d63b,{}
2022-10-18 05:43:33.679367+00,0xf91a41bdfd111763c43c721c93b0d9ec36846fb7,{}
2022-10-18 05:43:38.192497+00,0xf738a4f3ebb32849240a4b0c71bad5bea8972689,"{""POAP"": ""v0.0.0:XsVNFTTrmqa59/hP7A9srxSYAJ+z9ThzKSidGVaDRMM="", ""Github"": ""v0.0.0:u4FumbuTGhQqVIpAmddvJ6VhI7AgPCFETwgytv76tWg="", ""Google"": ""v0.0.0:tScl6TMLw8tZqG7ricys8UFbY7YlJD8atB/76pKerIc="", ""Discord"": ""v0.0.0:/y99vai/A9j8pJZMSjp5HTmtiswWlgS8QP7dnLZe3kM="", ""Twitter"": ""v0.0.0:Be4c+f8Kq+b7EuXvBLGRYz25z6J9mVG6F3qSTOFtyJM=""}"
2022-10-18 05:43:40.347025+00,0x367d7b4c93fd52c8d54c34dc5c6341763e9dadf8,"{""Github"": ""v0.0.0:x7feyjE1vVN2a1qWKLS2039zXI0fETHgXQff2U3CW0s="", ""Google"": ""v0.0.0:NA1TAE1fCN9tkqSCotdvTBVnQsMjx8nPBmbrJeGZgPc="", ""ZkSync"": ""v0.0.0:BwuogIGj4EvN6ZMSiD2pF/XWu5PaxDvHk5BAIU5ariY="", ""Discord"": ""v0.0.0:wWWf6Y/HgMtWJw6rvp4NhBye0S1WyXxezcV9bdI1AGk="", ""Twitter"": ""v0.0.0:S2asywH+7FIltAl+NQjxb0XVKsnAyK6r7C/4DebWFEg=""}"
2022-10-18 05:43:42.535632+00,0xa05f6510f6bbb0e8ba341d5a21669fa9c0deaaf4,{}
2022-10-18 05:43:46.493037+00,0x201b856fe2d5539cbd325cd2c491ca75e4dfa2e7,{}
2022-10-18 05:43:50.54822+00,0x4820deb7bbf154739af8e446032b2647f3efcaf9,"{""Twitter"": ""v0.0.0:MsUaEWr1KEPlEx8xpTb951fhH2Z1+D3RwBlSylAKh3E=""}"
2022-10-18 05:43:52.534668+00,0xaa0bd73e75aeef544d80df25790ba307aeea7c08,{}
2022-10-18 05:43:56.218251+00,0x5c1c33cd2118179d927255bde59313faca3ed0f0,"{""POAP"": ""v0.0.0:TyvJvG9SGvHOwQrrHNK6UsXgV+1Dx7Rf2rrOqu8elm4="", ""Github"": ""v0.0.0:2N9/jiWjrBad8Yzu4MSra1GWHBCOx5+/7agBh4mCZ/U="", ""Google"": ""v0.0.0:sPqnL//v9c4u4vgF+3KLCboLCmgLKqu9sj7wwzhErhI="", ""ZkSync"": ""v0.0.0:C/8RWAK41lVmDk+FsMS/TTX0tq7h3KoicnZ6oSbIp2M="", ""Discord"": ""v0.0.0:eX+65IAd5LZw6Z+jNg7r+XzF+yjZ1s2S8NGdapFLfRQ="", ""Twitter"": ""v0.0.0:5gDCtjt5zgVKUYKcPCtcGh7IIvhI+a6DejEHRoluAqc="", ""TwitterTweetGT10"": ""v0.0.0:l1jfahLQx5EYIzjST5l+DoLMkTlzGkuqeP7fKKQgBLY="", ""FirstEthTxnProvider"": ""v0.0.0:m7O20i8ZzqfIlWlmW54Ldtzx83irr+71KL0k0t1NApk="", ""EthGTEOneTxnProvider"": ""v0.0.0:TeFboSzL8EV6XjCeMZdNKf+KwyjAB6OWBSCszvnXEk4="", ""TwitterFollowerGT100"": ""v0.0.0:8FNnjbVJMPAW20czayjLiQVElGSmmFJ9V8lc9oLbc+0="", ""SnapshotVotesProvider"": ""v0.0.0:2ljXry2DVydx4KrXhFDvEWI4Jwlf/FlldaULUZ7Orw4="", ""GitcoinContributorStatistics#numGr14ContributionsGte#1"": ""v0.0.0:Gza6qGI1SnN/O5Whc9WFxnH3QBfz3Qn563TSmqUqWlQ="", ""GitcoinContributorStatistics#numGrantsContributeToGte#1"": ""v0.0.0:NSc94hIzVNV1shmKA8VuAxsTOx14zFE8cHoVZYVd8tI="", ""GitcoinContributorStatistics#numRoundsContributedToGte#1"": ""v0.0.0:nQCf0cMm3q5spLWq+/ZaqzXcGJ/Pdrr+nAnzv7g3rr0="", ""GitcoinContributorStatistics#totalContributionAmountGte#10"": ""v0.0.0:ejTJ7ZEQHPEUmz7iYZVEjdrGwKPIMiRi0SKeU1/s5aY=""}"
2022-10-18 05:44:00.496962+00,0xe1e20964542e740e496fd5e87e9dba77a073ff6d,"{""NFT"": ""v0.0.0:warX914opKHqxaZ9wYsNViTlbYqBB2GTc+LgYg/iq84="", ""Lens"": ""v0.0.0:b0vsgiPIzCyUGGDA1G92OSKHQ9kIWL+byKl4hOKXMNY="", ""POAP"": ""v0.0.0:T7eGw+6cz18uBM0Ph7dtD7N3ruyZMAcVRtDWC8zM4NU="", ""Github"": ""v0.0.0:IqQdEaNvyOmd/XSx8P6+OxUFKCJke2pH1Y93gfEZSu8="", ""Google"": ""v0.0.0:3uuNcqN8JB1RVXhtlTgK/gfTNUSAF3hwYv9ONFSIy00="", ""ZkSync"": ""v0.0.0:MlrT4nfdbs8jNYpkmEzD8I2kmxqCtbST97kbF+4icnw="", ""Twitter"": ""v0.0.0:qadZ/0G8ozcXzr3LoO1zVWQzqsLs69BbgpKbIzYtk4c="", ""Brightid"": ""v0.0.0:42eS83nnvoAGfkO7LEVdIxikZNBMO7h5WJYXgEnH2a0="", ""Facebook"": ""v0.0.0:TY6g4fuBzFwO3trTlkKcH2de6yUBU1SdE8gYmpPxwbs="", ""SnapshotVotesProvider"": ""v0.0.0:aBDqVR8hhTIH3TWa/EpgxmGGHI6wMjTEg4QcwIlUO10="", ""TenOrMoreGithubFollowers"": ""v0.0.0:gBnOhCwAritiOTMghXQLb0V4ZzJybDzcpNX5Oj+rtnI=""}"
2022-10-18 05:44:03.643402+00,0x616cad18642f45d3fa5fcaad0a2d81764a9cba84,"{""Ens"": ""v0.0.0:xefFMhxa9agDhVCLfdMfvgS4WYnnhy55lQFqfc9FlAs="", ""POAP"": ""v0.0.0:EZBtGiI0qLQFzJ3FgMYv/Y8z5d+NjgF8hI+i42lxtMY="", ""Github"": ""v0.0.0:AXcGblv0Vu/bnrk0MWcqntVsHR5Gop12WI696sK3MZk="", ""Google"": ""v0.0.0:fiDzq/LGuYuAIXVkIs1dcam9c9/MmOX/cz1Tni5OTIE="", ""Twitter"": ""v0.0.0:x1gfkEzJVOiJ/ZHP+dmstkA9khJa1rEMDuBOPz4zMU4="", ""TwitterTweetGT10"": ""v0.0.0:C5g1GuT5BP4ZT/VsRTSe3GNaZk6U7Rh3sLCY428VEbY="", ""FirstEthTxnProvider"": ""v0.0.0:zePqMexNKTtf3Erm8g1801b+6YpaPW2JB5Xrc0vQ/tY="", ""ethPossessionsGte#1"": ""v0.0.0:rZ7gEWrpgIq6Jdrlr5cz9NPEgPn3uu5VmAYTQyq01ms="", ""EthGTEOneTxnProvider"": ""v0.0.0:lkIwD6A0tmZ86qwFk885D+8EyUkjbXfW4Pq3cP1qOGc="", ""TwitterFollowerGT100"": ""v0.0.0:gbFoylcsKQdW3tb0S72q1PPUd5wvKrxqTRi/i7am8yY="", ""FiveOrMoreGithubRepos"": ""v0.0.0:lIrdaLo6NheyAYFINL7+BGxAcRS7qA+p/9dZoRLu+5Q="", ""ForkedGithubRepoProvider"": ""v0.0.0:9WdRtC3U5iRmi5KWsAkZVs1jEgRJtfD2F3vhyJmxQBo="", ""StarredGithubRepoProvider"": ""v0.0.0:oZ/QB1LmVtOISE2qtT1gfkGT7aDj3EKadY172PSjZ+0="", ""GitcoinGranteeStatistics#numOwnedGrants#1"": ""v0.0.0:TCXBHOohqgy8v+HwMDhp3HedGAY3g8tOdtEteDNgSyI="", ""GitcoinGranteeStatistics#numGrantContributors#10"": ""v0.0.0:EZm9Pbe9S319rQFdeV4/tfxZlggzvA6vtrkuhetugVI="", ""GitcoinContributorStatistics#numGr14ContributionsGte#1"": ""v0.0.0:s90nx+ZHxyHnP2mlnr/e7PRev3qmGU1WTV/MxP3Lj/k="", ""GitcoinGranteeStatistics#numGrantsInEcoAndCauseRound#1"": ""v0.0.0:a/ZCcUHfgYwooxKi64QK28y/Qt0F6Ru3/xKkCZVOrPI="", ""GitcoinContributorStatistics#numGrantsContributeToGte#1"": ""v0.0.0:+s9YECN3+ZeUQf6Rzy00e+KoRsnrPyGFLunGzVTPdYs="", ""GitcoinContributorStatistics#numGrantsContributeToGte#10"": ""v0.0.0:fGspLiq/JFsg+skYta3Buy1pFTG/ASEGjSaD9/qEgUo="", ""GitcoinContributorStatistics#numGrantsContributeToGte#25"": ""v0.0.0:neR6lla2LMSmUiwcwWLmwVtIzz3LrwB89nuQP+SLhUY="", ""GitcoinContributorStatistics#numRoundsContributedToGte#1"": ""v0.0.0:NzE3J/B1DjTMIZDQ3MvxqGLbi2lg4QLJMqnLfuOZmFc="", ""GitcoinContributorStatistics#totalContributionAmountGte#10"": ""v0.0.0:86zJmXQ7kHgfOyaMib+bxdeeVHAh5Ht0nYeURGMwUS0="", ""GitcoinContributorStatistics#totalContributionAmountGte#100"": ""v0.0.0:VHhdm8DV13gifUYHvI80YffTBdBEUEbp4fGWX40tp9w=""}"
2022-10-18 05:44:08.479315+00,0x63d0f1f6509a42f4e3a96b40ee4ef32a28227c23,{}
2022-10-18 05:44:12.289546+00,0x8ae26c6145a5484c48fd902a9ccb83368a57c01c,{}
2022-10-18 05:44:16.079277+00,0xd9ed76e589e6dad7446e3b40b197243b55d15e28,{}
2022-10-18 05:44:19.93968+00,0xde29271b4722e4966cb3aa920ef3c33324a011f7,"{""Github"": ""v0.0.0:WV8ZloWifVpkYxbuFUZz0QYqSExVQ1Te2woHzDqXPcM="", ""Google"": ""v0.0.0:dw/7vnxN7gqU/P6nalcrkMWy5yT2xtYSLiFpoHJSddA="", ""Discord"": ""v0.0.0:Z55oTaO5+W45a5gWyB7O2/LMXjvYOQmUj5SZhu7j3W4="", ""Twitter"": ""v0.0.0:eqNLNyAAKQhzvdWV99bUfIETvZIG2mIQqkyHkP09Jd8="", ""TwitterTweetGT10"": ""v0.0.0:mPevMtEKbO2ytmkhuJzsT9E6ZGqOeGF07o6epot8YAg="", ""FirstEthTxnProvider"": ""v0.0.0:NkxskBVdWXw9XC4cfDwapYo5QrCalenMLobcUFI9g6I="", ""EthGTEOneTxnProvider"": ""v0.0.0:vjA/baE4P2erYFK4+m5+AljNKzQrdqE8cvNVoIEQilM="", ""SnapshotVotesProvider"": ""v0.0.0:pkHHYA6GHL+885zy+Kc0AYAp1Zy0098cgWEgk+57lZU=""}"
2022-10-18 05:44:22.255452+00,0x43d936856485c6ff09e05ffdf0a97989a433ab9d,"{""Ens"": ""v0.0.0:s/759njlFPOlBc6gXxm0kbKM8b5LyEMoNTC9CYxSYFg="", ""POAP"": ""v0.0.0:lRoiypC0e860yb68uDlmyJDdMWsjhaUN+w5qec7vJv8="", ""Github"": ""v0.0.0:CHyltJwPXvyBZ7RuwEWoBvTnTt70593iMdTeRDlVSew="", ""Discord"": ""v0.0.0:qmmMy0nb9LKc/ABRChJmasl4Fr0oRIXtpdba8BVOfMI=""}"
2022-10-18 05:48:35.780482+00,0x26d5091bf8353f4553dff080d6687d434dfb6408,"{""Google"": ""v0.0.0:nLRETtSg3uL0gvrszHCZgIa0b63u1TH07RHux9rBQek="", ""Twitter"": ""v0.0.0:/QNcD8ukuyINj9hI8fPd9VRhP3h2UAn19OEhSd0V7BA="", ""Facebook"": ""v0.0.0:wby1gv0Y3C3Nv+RE6OSwH1lmLVNroITDhMAR3tLuQ+I="", ""FacebookProfilePicture"": ""v0.0.0:eXmklR55FrFWNLm1lClvO5yVmBCr0PevLn+jqsm+uZg=""}"
2022-10-18 05:50:10.627047+00,0xf033585ca637099b65a64611a0599fa2bcd7cdf1,"{""POAP"": ""v0.0.0:ytiB+aH1e4D2C8kduOpMhEYUCU2XgzMTJxsg17GmSFM="", ""ZkSync"": ""v0.0.0:5vyxoTHMNk+KNFf+0GmujYKXf88xhrWTZ/J6AeQ1dMI="", ""Discord"": ""v0.0.0:RxiRR/WRqybxYqxzBCKk9vKek9r99dQoQXRTLEJrq9g="", ""FirstEthTxnProvider"": ""v0.0.0:iaoF2upctB8nML6mVxprFkgN7KgHEbTwNG6tsBeX1qQ="", ""EthGTEOneTxnProvider"": ""v0.0.0:O8tjtiTNH7F86m17Ficlh7Pq4haV9u92UCuhB9kPukY=""}"
2022-10-18 05:50:19.061558+00,0x89c3e66d2d40f59cdc423f5e55ec9647dbd4de89,{}
2022-10-18 05:50:22.902108+00,0x029a5c7a8d6411100dbdf195643ea04d2ec12fc9,{}
2022-10-18 05:50:26.722104+00,0x88d057c239d31f318ff5344a7d9b67e05d3d1e8c,{}
