created_at,address,sybil_origin_address,gitcoin_stamps
2022-10-07 17:08:24.980711+00,0x268703Ed376f7Ef210bBa3A8C4bc7B75AD63C630,0x41477A57A8916237A8ff512bA3D9bF487D9cbb79,"{""Github"": ""v0.0.0:J2IYEjX/jKdq9OuXPXlQfwrFcJq8QlNEROYzw04a/08="", ""Google"": ""v0.0.0:2n9w1obIIOuZda2ImL0fK3vCue+xvMV7SRZgkWrlG50="", ""Discord"": ""v0.0.0:jLFnLsGecVQ4eIdUOfq6m3CwL3a4NJWiHEzL9PUXByw="", ""Twitter"": ""v0.0.0:ComuMIL8/kJTDEunRrRe7gQ+fN36jowNQBfqtbBq8Oc="", ""TwitterTweetGT10"": ""v0.0.0:GYvF+9Wvx+VaRSZs5Wx9QOfIB3GZbT5wp8cCAQZrHHA="", ""TwitterFollowerGT100"": ""v0.0.0:NemgXJx3LUa3h+fiomwK06dCxuxRyVS7biNfQBbFxM8="", ""TwitterFollowerGT500"": ""v0.0.0:MFQLaTH7Lcuo0FtVqBLM8x8VEM0qlCOyeThI4xvBa5U="", ""FiveOrMoreGithubRepos"": ""v0.0.0:bynuH/5g4uNJbz7VcdeS54nipjeykraI8nafPegnY1s="", ""ForkedGithubRepoProvider"": ""v0.0.0:FUsGZRlhkc8bzeaupJEwVcVoo016cju9LMnmxzQ1ZmM="", ""GitcoinContributorStatistics#numGr14ContributionsGte#1"": ""v0.0.0:SyZriZAvV3tg+GK0NjLu0+nnaE6Ra4MQVpWG4ziyXqg="", ""GitcoinContributorStatistics#numGrantsContributeToGte#1"": ""v0.0.0:DIltHyfkBeIjzJFzGKzz4VuKrCT6u9OFY2gzFO+fHLA="", ""GitcoinContributorStatistics#numGrantsContributeToGte#10"": ""v0.0.0:OOcNFZe8aq4Qqb78DhhpJ4lVWBeQ5wOjQWpxK3OYrQQ="", ""GitcoinContributorStatistics#numRoundsContributedToGte#1"": ""v0.0.0:oUIR+wvAh30HMNb120U26dOLdc/kx5xmkj4myPnwdHk="", ""GitcoinContributorStatistics#totalContributionAmountGte#10"": ""v0.0.0:nOk+Da/13tcFiHCFUhKbUz54KCtPvmaoScPCz/U9c1I=""}"
2022-10-13 08:13:00.921898+00,0x6bEfa16618d3068B643773369985CD486E15394B,0xA9DF88f1499dd27a66ac01f3EC04928be2E45931,"{""Discord"": ""v0.0.0:oDCag1iysqjtK0WDey1FkP9wZBMGfzsRjGXMiEmrIkM="", ""Twitter"": ""v0.0.0:SgLm8uPYewBYfiSPB4lcengGHQQevFZ7yRhjbA3Cg2I=""}"
2022-11-21 17:41:00.444842+00,0xd4C83A3d0D9448eAa33332Db68889900fBeDAA54,0x4E50A00e651C7b698c2E72Ad2bf965B952f89e3d,"{""Discord"": ""v0.0.0:YJ5rWNx9UZGwxQC7i3V5Nqv97Hdk+uZXJMVcBUv2R3w="", ""Twitter"": ""v0.0.0:827fwFbRVRtGtgsymu1jGt3/nXvEeMi3Xo2jxByZHF8=""}"
2022-11-29 06:49:49.713972+00,0xc0f316E58DBB0A203b5B5808adc51a8D39abCdA0,0xef4FD55584434903aa6FC9baa61eAcDDe5355DA0,"{""Ens"": ""v0.0.0:xsOMVVqA7fQ5/A2U5EtwzDiwbQn+DMBtyRybI1PP05A="", ""Twitter"": ""v0.0.0:tg1EKi7H29JRpHnaIySn4R2SqmlNrEBek0+UZDFqPLY="", ""TwitterTweetGT10"": ""v0.0.0:QmIM/CSUeGQgSw0jbSY/fjiFbopELU8bwLWMUoyHGp0="", ""TwitterFollowerGT100"": ""v0.0.0:culXTVNG6mOP/h3TSKwobf3LUaay+Lxyw+mugeIzZHE="", ""TwitterFollowerGT500"": ""v0.0.0:j8RFrpdOR1piVLoeIRz+usWbxBv1Ld8ooVqNHgZhMQA=""}"
